Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,Ch 11,Ch 21,Ch 31,Ch 41,Ch 51,Ch 61,Ch 71,Ch 81,Ch 91,Ch 101,Ch 111,Ch 121,Ch 12,Ch 22,Ch 32,Ch 42,Ch 52,Ch 62,Ch 72,Ch 82,Ch 92,Ch 102,Ch 112,Ch 122,cosine_similarity,class
23037,23036,0.32,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.64,1.86,0.9,0.9,2.76,1.74,0.0,0.0,0.0,1.86,0.0,2.13,7.26,7.28,6.46,5.5,13.98,9.3,3.47,4.63,6.3,9.22,3.71,0.895,non
19322,19321,1.11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.83,0.7,0.4,4.07,10.75,4.6,0.0,1.63,2.16,2.18,0.7,0.98,2.18,2.22,2.99,1.71,2.48,1.88,1.26,1.06,1.31,2.18,1.37,0.719,non
11664,11663,3.02,0.0,0.0,0.0,1.0,1.0,0.0,1.35,6.84,4.32,2.9,2.21,6.34,5.18,1.53,1.78,2.31,4.85,1.32,0.51,8.4,5.1,4.51,2.78,11.56,6.82,1.75,1.52,4.3,8.05,1.88,0.98,non
34144,34143,4.72,2.86,0.0,0.0,1.0,1.0,0.0,0.0,6.23,2.09,4.91,1.45,6.77,2.9,1.2,2.76,5.79,4.09,0.59,1.67,10.08,7.13,6.27,7.01,13.91,8.93,3.89,4.46,5.07,8.59,4.06,0.922,non
12821,12820,0.34,0.0,0.0,0.0,1.0,1.0,0.0,2.12,6.3,7.31,3.3,3.25,8.37,6.16,3.27,3.52,1.4,7.41,1.1,1.0,8.16,5.63,7.0,5.04,10.44,6.94,2.82,1.86,6.97,6.8,2.06,0.929,non
14462,14461,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,3.81,17.4,10.51,14.19,9.63,18.81,15.17,6.7,7.71,7.21,11.99,5.28,0.929,non
18484,18483,0.32,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.06,1.54,0.57,1.54,5.48,4.62,1.54,1.54,3.16,2.5,0.57,0.0,3.63,2.5,3.95,2.5,5.06,2.5,2.5,2.6,1.92,3.95,0.0,0.881,non
36083,36082,1.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.16,1.22,0.88,1.65,4.59,3.94,0.0,0.88,0.0,2.87,0.0,3.35,8.27,8.96,6.2,5.89,12.22,9.03,3.84,4.55,7.46,9.44,3.76,0.876,non
17583,17582,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.64,6.59,5.38,4.7,3.96,7.18,5.13,2.27,2.22,3.27,6.84,1.11,0.0,3.67,2.73,1.6,1.6,5.09,2.0,1.8,1.13,2.73,1.6,0.0,0.936,non
29129,29128,0.95,0.52,0.0,0.0,1.0,1.0,0.0,0.09,3.83,2.81,2.75,1.22,4.97,3.2,1.74,1.84,1.9,4.4,1.14,0.87,9.48,9.43,5.38,6.49,12.91,9.51,3.63,4.2,5.95,6.89,6.23,0.959,non
13179,13178,1.49,0.0,0.0,0.0,1.0,1.0,0.0,2.06,7.3,7.4,6.48,4.2,9.46,7.23,2.57,1.64,3.35,7.93,2.57,1.11,12.83,8.46,9.69,9.02,15.36,10.62,4.95,6.76,7.85,9.32,4.27,0.971,non
24811,24810,2.43,1.83,0.0,0.0,1.0,1.0,0.0,0.56,6.23,5.08,3.95,2.22,8.08,5.14,2.38,2.58,2.43,5.33,1.52,1.87,6.09,5.22,3.21,4.35,9.77,6.51,1.47,2.96,6.12,6.02,1.84,0.966,non
222,221,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.77,2.9,4.53,2.9,2.9,4.53,2.9,1.41,2.9,2.9,4.64,1.41,0.0,6.83,7.53,2.03,7.48,16.49,6.83,1.04,0.0,1.22,5.04,3.53,0.845,non
18880,18879,13.58,15.1,0.0,0.0,1.0,1.0,1.0,1.25,8.23,5.88,3.94,3.9,11.06,9.05,2.35,4.04,4.66,6.9,2.36,1.15,6.3,5.34,3.0,3.44,8.59,6.47,2.04,3.47,4.3,6.38,2.75,0.995,non
22776,22775,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.11,7.56,5.77,4.3,4.92,10.42,5.02,2.12,1.87,3.06,5.96,3.83,1.75,3.96,0.0,2.21,2.71,3.56,2.71,0.0,0.96,1.75,2.71,0.0,0.898,non
25315,25314,1.09,0.0,0.0,0.0,0.0,1.0,0.2,0.0,8.66,1.32,5.53,2.46,8.59,4.41,1.32,1.31,0.85,3.75,0.0,1.03,9.79,4.26,4.7,4.44,13.02,5.97,2.58,1.73,3.99,6.4,1.03,0.961,non
